"Stage","SeqNr","Timestamp [µs]","Phase","Width [µs]","Vprim [mV]"
B,275,9159379,0,102,2425
B,276,9159470,1,101,1899
A,277,9222251,0,121,2501
A,278,9222357,1,124,2100
B,277,9224714,0,110,2431
B,278,9224815,1,106,1890
A,279,9289187,0,113,2639
A,280,9289288,1,114,2059
B,279,9289674,0,116,2551
B,280,9289780,1,116,1915
B,281,9354643,0,125,2544
B,282,9354757,1,124,1908
A,281,9356102,0,104,2384
A,282,9356194,1,104,2075
B,283,9419239,0,133,2542
B,284,9419360,1,133,1937
A,283,9422611,0,96,2524
A,284,9422694,1,97,2079
B,285,9483471,0,141,2519
B,286,9483603,1,138,1924
A,285,9488726,0,88,2549
A,286,9488799,1,91,2028
B,287,9547716,0,149,2567
B,288,9547854,1,148,1942
A,287,9554819,0,80,2506
A,288,9554886,1,81,2059
B,289,9611980,0,157,2573
B,290,9612124,1,157,1951
A,289,9620898,0,71,2452
A,290,9620959,1,70,2018
B,291,9676243,0,165,2427
B,292,9676395,1,165,1955
A,291,9686555,0,63,2404
A,292,9686606,1,64,2016
B,293,9740523,0,173,2546
B,294,9740684,1,173,1955
A,293,9752198,0,63,2515
A,294,9752249,1,64,2016
B,295,9804429,0,180,2510
B,296,9804597,1,179,1962
A,295,9817838,0,63,2393
A,296,9817889,1,64,2032
B,297,9867955,0,187,2546
B,298,9868133,1,185,1960
A,297,9883478,0,63,2508
A,298,9883528,1,65,2014
B,299,9931499,0,197,2555
B,300,9931685,1,194,1960
A,299,9949122,0,63,2413
A,300,9949175,1,62,1996
B,301,9995065,0,204,2479
B,302,9995260,1,200,1951
A,301,10014766,0,63,2470
A,302,10014818,1,63,2028
B,303,10058643,0,211,2438
B,304,10058843,1,209,1960
A,303,10080408,0,63,2562
A,304,10080458,1,65,2025
B,305,10124193,0,211,2549
B,306,10124391,1,212,1989
A,305,10146060,0,63,2501
A,306,10146111,1,65,2025
B,307,10192868,0,201,2458
B,308,10193061,1,198,1946
A,307,10211711,0,63,2652
